"시도별(1)","종류별(1)",2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023
"시도별(1)","종류별(1)",수박,참외,딸기,오이,호박,무  계,당근,배추계,양배추,고추,마늘,파,양파,수박,참외,딸기,오이,호박,토마토,무  계,당근,배추계,양배추,고추,마늘,파,양파,수박,참외,딸기,오이,호박,무  계,당근,배추계,양배추,고추,마늘,파,양파,수박,참외,딸기,오이,호박,무  계,당근,배추계,양배추,고추,마늘,파,양파,수박,참외,딸기,오이,호박,무  계,당근,배추계,양배추,고추,마늘,파,양파,수박,참외,딸기,오이,호박,무  계,당근,배추계,양배추,고추,마늘,파,양파,수박,참외,딸기,오이,호박,무  계,당근,배추계,양배추,고추,마늘,파,양파,수박,참외,딸기,오이,호박,토마토,무  계,당근,배추계,양배추,고추,마늘,파,양파,수박,참외,딸기,오이,호박,무  계,당근,배추계,양배추,고추,마늘,파,양파,수박,참외,딸기,오이,호박,무  계,당근,배추계,양배추,고추,마늘,파,양파
"세종특별자치시","합계",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,0,0,2,8,32,0,49,0,182,23,20,3,2,1,0,1,3,9,0,35,0,121,33,10,2,2,2,3,0,5,20,1,39,0,142,36,10,3,16,3,0,2,8,27,3,38,1,154,37,7,4,13,1,0,3,17,19,5,38,6,126,47,15,5,0,0,0,38,43,-,7,0,62,0,122,29,26,1,1,0,0,1,16,40,11,77,1,111,39,25,20,1,3,0,1,36,28,5,49,1,79,60,23,13
"경기도","합계",14,22,-,182,653,2221,35,1681,78,2919,704,2247,217,22,32,1,124,730,-,2462,34,1717,143,2635,656,1610,177,12,23,0,153,521,1840,14,1526,43,2809,652,1714,217,29,33,3,157,673,1989,47,1647,49,2670,845,1928,280,27,44,4,141,858,2256,23,1446,69,2555,877,2405,509,61,57,5,171,703,2160,34,1430,73,2761,881,2162,493,64,49,7,151,442,1633,84,1604,87,2586,1020,1779,345,88,54,6,158,633,-,2024,41,1463,78,2766,742,2217,276,124,62,8,121,626,1894,29,1435,42,2484,678,1677,369,146,58,5,154,961,1760,43,1388,93,2107,656,1529,435
"강원도","합계",6,6,-,346,1216,3303,82,6201,1313,2674,377,1242,59,1,1,0,284,1136,-,2921,108,5980,1244,2780,307,1014,46,17,3,1,367,852,3190,321,5437,1272,2076,180,655,16,25,9,3,452,1102,3642,165,6755,1003,2064,263,868,33,27,4,3,385,921,3553,134,6906,1201,2113,265,888,60,29,6,11,393,984,3046,293,6475,1501,2557,239,1005,102,33,12,7,488,908,3146,482,6783,1285,2251,236,1077,76,39,9,3,431,1013,-,3806,570,7538,1592,2401,314,1060,131,42,11,4,344,994,3400,161,6910,1702,2155,317,1266,62,17,11,5,515,956,3783,167,6835,1500,2166,313,1421,99
"충청북도","합계",236,1,3,114,383,720,28,2262,206,3242,611,473,81,181,2,8,147,565,-,584,35,1802,109,3168,539,365,117,201,21,1,171,461,622,53,1823,174,3022,571,555,65,285,2,1,216,378,967,73,2836,284,2584,659,800,85,261,6,0,251,285,851,78,2631,182,2826,708,556,88,290,2,1,165,283,762,112,2114,243,2859,797,744,155,259,4,0,173,295,890,46,2597,203,2792,780,776,68,157,5,1,178,223,-,574,2,2988,230,2850,691,683,106,107,6,2,81,206,537,86,2862,277,2624,582,477,95,132,6,1,82,227,877,50,2903,268,2477,669,625,74
"충청남도","합계",13,12,1,56,440,1908,40,2020,482,3792,2505,1137,724,34,4,5,73,247,-,1979,30,1588,321,3623,2149,939,430,55,13,0,46,269,1662,12,1522,243,3304,2139,1613,453,50,23,1,75,243,1837,44,1797,423,3065,2643,2013,785,12,18,0,106,195,1799,42,1391,417,2938,3538,2045,1233,17,15,2,90,214,1324,32,1109,349,3120,3418,1844,944,15,45,6,59,269,1287,10,1504,332,3318,2806,1460,693,40,25,7,132,370,-,1430,36,1461,454,3750,3437,1582,923,26,23,8,72,273,1577,35,1346,484,3262,3249,1411,828,49,28,7,93,305,1640,48,1239,397,3034,3573,1514,836
"전라북도","합계",705,23,-,49,231,1949,8,2469,226,4584,676,1018,1654,806,29,0,36,328,-,1824,23,2086,170,4324,601,856,1352,646,14,4,37,171,1834,29,1603,124,4909,862,960,912,671,4,28,59,208,2091,29,2172,230,4277,1025,740,1632,521,13,2,108,218,1961,17,2080,174,4078,1316,772,2646,600,10,1,24,223,1678,23,1411,88,4837,1032,792,2373,823,6,1,60,193,1916,39,2101,67,4320,976,981,1142,661,25,0,39,168,-,2233,10,1658,137,4286,759,813,1687,745,34,2,13,210,1773,31,1683,74,3586,804,780,1578,570,15,0,7,176,2287,26,1433,57,3106,715,939,1751
"전라남도","합계",354,15,8,14,1574,1389,61,8998,1902,6792,7374,5177,12080,222,9,1,2,1812,-,1520,43,7867,1344,6194,5425,5592,9171,146,59,23,1,1638,1458,15,6684,1940,5367,5099,4361,9521,265,14,27,15,1143,1616,23,8580,1696,4421,6346,4690,9230,196,20,12,8,1332,1588,24,9412,2000,4456,6030,5753,11327,203,14,2,4,1679,1358,50,7163,1974,4914,5803,4642,8467,128,21,15,10,2010,1267,53,8766,2304,4682,5326,4337,5743,195,14,2,16,1263,-,1237,57,7439,2567,5067,3917,5707,6775,151,23,3,18,1093,1294,43,8364,1985,4531,3887,5506,6676,125,20,1,26,1197,1444,57,7746,1572,4050,4061,5174,6079
"경상북도","합계",1182,31,13,62,1142,1422,369,3375,919,8587,3863,970,2602,1101,13,15,103,1440,-,1189,278,2590,616,8387,3402,971,2080,905,24,9,60,1387,1516,221,2755,586,7426,3850,881,2057,1131,3,3,102,1503,2217,230,3993,603,6368,4734,1249,2087,988,2,7,101,1478,1568,278,3982,394,6768,6086,946,3369,1060,5,2,78,1559,1452,171,3096,377,7212,5998,934,3309,883,9,3,86,1064,1502,188,3969,243,7906,5117,883,2365,785,13,15,59,1123,-,1388,151,3255,414,8751,4461,1253,3159,947,7,13,63,859,1377,134,3640,337,7897,4536,1164,2771,694,15,3,68,1424,1541,205,3838,408,7269,5208,1154,2986
"경상남도","합계",21,1,-,14,281,443,248,1162,73,2335,5538,379,5294,17,1,0,13,254,-,460,958,806,145,2234,5057,327,3766,55,4,11,14,446,436,666,908,220,2110,4651,379,4749,13,3,1,20,433,671,637,1128,60,1948,5387,613,3938,18,6,6,8,363,662,679,794,92,2024,6614,601,5471,29,9,2,10,382,643,621,738,115,2237,6598,608,4330,27,9,2,12,546,521,845,849,70,2186,6266,473,2825,33,15,5,25,506,-,316,854,640,85,2218,5732,493,4023,41,9,2,20,599,400,777,734,77,2077,6402,413,3777,45,15,8,24,742,488,628,563,64,1916,7519,487,3482
"제주도","합계",303,14,25,3,438,6197,1430,609,2110,20,2980,837,882,206,31,67,0,575,-,5706,1444,220,2225,50,2124,549,641,155,21,84,9,234,5368,899,377,2027,47,2125,1008,1566,180,21,55,3,304,6434,944,460,2324,39,2230,1291,1116,247,14,55,8,388,7746,864,255,3173,51,2146,845,1254,276,15,9,37,528,6073,720,241,2031,67,2116,732,1130,309,11,4,7,792,6497,914,242,2231,82,2122,692,955,138,32,0,4,914,-,6111,1151,142,3017,97,1337,790,906,133,17,6,4,1152,6292,801,226,2149,108,1238,719,946,120,2,2,2,1250,6322,1151,348,1935,83,1251,695,1035
