"행정구역별","연령별","항목","단위","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년",
"철원군","50대","동반가구원수[명]","명","6","4","6","4","4","X","X","X","X","X",
"철원군","60대","귀농가구원수[명]","명","X","7","18","11","9","16","8","17","14","16",
"철원군","60대","귀농인수[명]","명","X","6","14","10","7","14","6","14","8","16",
"철원군","60대","동반가구원수[명]","명","0","X","4","X","X","X","X","X","6","0",
"철원군","70대이상","귀농가구원수[명]","명","X","X","X","0","4","X","X","X","6","X",
"철원군","70대이상","귀농인수[명]","명","X","X","X","0","X","X","X","X","4","X",
"철원군","70대이상","동반가구원수[명]","명","0","X","0","0","X","0","0","0","X","0",
"화천군","계","귀농가구원수[명]","명","66","52","78","71","96","69","72","70","57","67",
"화천군","계","귀농인수[명]","명","38","34","49","46","62","53","48","53","41","48",
"화천군","계","동반가구원수[명]","명","28","18","29","25","34","16","24","17","16","19",
"화천군","30대이하","귀농가구원수[명]","명","21","16","21","17","24","14","16","11","7","11",
"화천군","30대이하","귀농인수[명]","명","4","X","X","5","9","4","X","X","4","X",
"화천군","30대이하","동반가구원수[명]","명","17","13","18","12","15","10","13","9","X","10",
"화천군","40대","귀농가구원수[명]","명","19","10","14","6","16","15","8","9","7","6",
"화천군","40대","귀농인수[명]","명","12","9","11","4","11","12","7","7","5","6",
"화천군","40대","동반가구원수[명]","명","7","X","X","X","5","X","X","X","X","0",
"화천군","50대","귀농가구원수[명]","명","19","13","30","26","31","15","18","22","15","15",
"화천군","50대","귀농인수[명]","명","15","11","23","21","24","14","12","18","13","13",
"화천군","50대","동반가구원수[명]","명","4","X","7","5","7","X","6","4","X","X",
"화천군","60대","귀농가구원수[명]","명","7","11","11","18","23","20","25","22","22","30",
"화천군","60대","귀농인수[명]","명","7","11","11","13","16","18","22","21","15","25",
"화천군","60대","동반가구원수[명]","명","0","0","0","5","7","X","X","X","7","5",
"화천군","70대이상","귀농가구원수[명]","명","0","X","X","4","X","5","5","6","6","5",
"화천군","70대이상","귀농인수[명]","명","0","0","X","X","X","5","4","5","4","X",
"화천군","70대이상","동반가구원수[명]","명","0","X","X","X","0","0","X","X","X","X",
"양구군","계","귀농가구원수[명]","명","46","45","45","54","53","29","61","47","43","30",
"양구군","계","귀농인수[명]","명","35","27","31","42","39","24","50","34","32","21",
"양구군","계","동반가구원수[명]","명","11","18","14","12","14","5","11","13","11","9",
"양구군","30대이하","귀농가구원수[명]","명","4","14","13","10","6","X","10","15","9","5",
"양구군","30대이하","귀농인수[명]","명","X","4","4","X","X","0","6","7","X","X",
"양구군","30대이하","동반가구원수[명]","명","X","10","9","7","5","X","4","8","6","4",
"양구군","40대","귀농가구원수[명]","명","8","7","5","X","6","5","5","10","X","X",
"양구군","40대","귀농인수[명]","명","7","5","4","X","5","5","4","6","X","X",
"양구군","40대","동반가구원수[명]","명","X","X","X","X","X","0","X","4","X","X",
"양구군","50대","귀농가구원수[명]","명","22","13","17","27","27","16","28","11","12","12",
"양구군","50대","귀농인수[명]","명","17","10","14","23","22","14","23","11","9","9",
"양구군","50대","동반가구원수[명]","명","5","X","X","4","5","X","5","0","X","X",
"양구군","60대","귀농가구원수[명]","명","9","9","8","12","11","5","16","9","17","10",
"양구군","60대","귀농인수[명]","명","6","7","7","12","8","5","15","8","16","9",
"양구군","60대","동반가구원수[명]","명","X","X","X","0","X","0","X","X","X","X",
"양구군","70대이상","귀농가구원수[명]","명","X","X","X","X","X","0","X","X","X","X",
"양구군","70대이상","귀농인수[명]","명","X","X","X","X","X","0","X","X","X","X",
"양구군","70대이상","동반가구원수[명]","명","X","X","0","0","0","0","0","0","0","0",
"인제군","계","귀농가구원수[명]","명","55","49","65","68","76","65","63","52","80","55",
"인제군","계","귀농인수[명]","명","37","34","52","43","62","48","52","38","57","44",
"인제군","계","동반가구원수[명]","명","18","15","13","25","14","17","11","14","23","11",
"인제군","30대이하","귀농가구원수[명]","명","15","14","8","20","10","14","8","11","16","11",
"인제군","30대이하","귀농인수[명]","명","4","X","X","5","5","7","4","4","4","X",
"인제군","30대이하","동반가구원수[명]","명","11","11","7","15","5","7","4","7","12","8",
"인제군","40대","귀농가구원수[명]","명","12","10","11","6","12","5","6","6","11","7",
"인제군","40대","귀농인수[명]","명","10","10","11","X","12","5","6","5","10","6",
"인제군","40대","동반가구원수[명]","명","X","0","0","X","0","0","0","X","X","X",
"인제군","50대","귀농가구원수[명]","명","22","17","33","28","29","25","31","16","24","9",
"인제군","50대","귀농인수[명]","명","18","15","29","23","25","21","25","13","18","8",
"인제군","50대","동반가구원수[명]","명","4","X","4","5","4","4","6","X","6","X",
"인제군","60대","귀농가구원수[명]","명","5","6","12","8","23","16","14","18","27","27",
"인제군","60대","귀농인수[명]","명","4","4","10","7","19","12","14","15","23","26",
"인제군","60대","동반가구원수[명]","명","X","X","X","X","4","4","0","X","4","X",
"인제군","70대이상","귀농가구원수[명]","명","X","X","X","6","X","5","4","X","X","X",
"인제군","70대이상","귀농인수[명]","명","X","X","X","5","X","X","X","X","X","X",
"인제군","70대이상","동반가구원수[명]","명","0","0","0","X","X","X","X","0","0","0",
"고성군","계","귀농가구원수[명]","명","42","64","61","60","50","63","48","46","61","46",
"고성군","계","귀농인수[명]","명","32","41","44","39","37","38","36","41","48","37",
"고성군","계","동반가구원수[명]","명","10","23","17","21","13","25","12","5","13","9",
"고성군","30대이하","귀농가구원수[명]","명","12","15","17","16","14","15","10","10","12","14",
"고성군","30대이하","귀농인수[명]","명","6","5","8","5","5","X","4","8","6","7",
"고성군","30대이하","동반가구원수[명]","명","6","10","9","11","9","13","6","X","6","7",
"고성군","40대","귀농가구원수[명]","명","12","13","7","13","11","14","10","12","9","8",
"고성군","40대","귀농인수[명]","명","11","10","6","9","10","10","8","12","8","7",
"고성군","40대","동반가구원수[명]","명","X","X","X","4","X","4","X","0","X","X",
"고성군","50대","귀농가구원수[명]","명","10","18","23","18","14","17","16","9","22","16",
"고성군","50대","귀농인수[명]","명","9","12","19","16","13","14","16","9","20","15",
"고성군","50대","동반가구원수[명]","명","X","6","4","X","X","X","0","0","X","X",
"고성군","60대","귀농가구원수[명]","명","7","17","13","11","8","13","8","12","17","8",
"고성군","60대","귀농인수[명]","명","5","14","10","8","7","9","6","10","13","8",
"고성군","60대","동반가구원수[명]","명","X","X","X","X","X","4","X","X","4","0",
"고성군","70대이상","귀농가구원수[명]","명","X","X","X","X","X","4","4","X","X","0",
"고성군","70대이상","귀농인수[명]","명","X","0","X","X","X","X","X","X","X","0",
"고성군","70대이상","동반가구원수[명]","명","0","X","0","X","X","X","X","X","0","0",
"양양군","계","귀농가구원수[명]","명","55","60","62","97","81","67","48","65","52","62",
"양양군","계","귀농인수[명]","명","33","39","37","59","51","45","34","41","37","50",
"양양군","계","동반가구원수[명]","명","22","21","25","38","30","22","14","24","15","12",
"양양군","30대이하","귀농가구원수[명]","명","12","14","22","18","24","17","8","13","15","9",
"양양군","30대이하","귀농인수[명]","명","X","4","4","X","8","9","X","X","7","4",
"양양군","30대이하","동반가구원수[명]","명","11","10","18","17","16","8","5","12","8","5",
"양양군","40대","귀농가구원수[명]","명","12","15","9","12","11","7","6","9","X","9",
"양양군","40대","귀농인수[명]","명","8","10","7","8","9","5","5","6","X","8",
"양양군","40대","동반가구원수[명]","명","4","5","X","4","X","X","X","X","X","X",
"양양군","50대","귀농가구원수[명]","명","19","21","16","37","28","22","18","23","17","18",
"양양군","50대","귀농인수[명]","명","15","16","14","27","19","16","14","17","15","14",
"양양군","50대","동반가구원수[명]","명","4","5","X","10","9","6","4","6","X","4",
"양양군","60대","귀농가구원수[명]","명","11","8","12","25","14","16","15","17","14","22",
"양양군","60대","귀농인수[명]","명","8","7","9","18","13","13","11","15","10","20",
"양양군","60대","동반가구원수[명]","명","X","X","X","7","X","X","4","X","4","X",
"양양군","70대이상","귀농가구원수[명]","명","X","X","X","5","4","5","X","X","X","4",
"양양군","70대이상","귀농인수[명]","명","X","X","X","5","X","X","X","X","X","4",
"양양군","70대이상","동반가구원수[명]","명","0","0","0","0","X","X","0","X","0","0",
"충청북도","계","귀농가구원수[명]","명","1306","1422","1514","1658","1466","1341","1210","1320","1457","1249",
"충청북도","계","귀농인수[명]","명","835","897","940","1063","959","925","847","938","1086","962",
"충청북도","계","동반가구원수[명]","명","471","525","574","595","507","416","363","382","371","287",
"충청북도","30대이하","귀농가구원수[명]","명","272","334","322","330","313","241","247","245","220","190",
"충청북도","30대이하","귀농인수[명]","명","69","77","70","78","80","64","81","97","87","78",
"충청북도","30대이하","동반가구원수[명]","명","203","257","252","252","233","177","166","148","133","112",
"충청북도","40대","귀농가구원수[명]","명","226","245","192","231","175","159","137","144","139","133",
"충청북도","40대","귀농인수[명]","명","167","178","133","169","136","129","109","108","109","111",
"충청북도","40대","동반가구원수[명]","명","59","67","59","62","39","30","28","36","30","22",
"충청북도","50대","귀농가구원수[명]","명","529","482","583","622","537","506","446","415","495","365",
"충청북도","50대","귀농인수[명]","명","397","380","430","460","412","392","352","332","403","310",
"충청북도","50대","동반가구원수[명]","명","132","102","153","162","125","114","94","83","92","55",
"충청북도","60대","귀농가구원수[명]","명","218","278","335","379","367","358","321","418","500","469",
"충청북도","60대","귀농인수[명]","명","165","209","253","297","282","285","268","341","411","399",
"충청북도","60대","동반가구원수[명]","명","53","69","82","82","85","73","53","77","89","70",
"충청북도","70대이상","귀농가구원수[명]","명","61","83","82","96","74","77","59","98","103","92",
"충청북도","70대이상","귀농인수[명]","명","37","53","54","59","49","55","37","60","76","64",
"충청북도","70대이상","동반가구원수[명]","명","24","30","28","37","25","22","22","38","27","28",
"청주시","계","귀농가구원수[명]","명","","140","186","174","169","164","160","149","150","139",
"청주시","계","귀농인수[명]","명","","84","109","96","97","108","100","92","103","96",
"청주시","계","동반가구원수[명]","명","","56","77","78","72","56","60","57","47","43",
"청주시","30대이하","귀농가구원수[명]","명","","56","58","60","54","38","58","35","36","33",
"청주시","30대이하","귀농인수[명]","명","","15","13","12","9","10","19","13","13","11",
"청주시","30대이하","동반가구원수[명]","명","","41","45","48","45","28","39","22","23","22",
"청주시","40대","귀농가구원수[명]","명","","24","24","39","23","19","18","21","19","28",
"청주시","40대","귀농인수[명]","명","","19","17","28","14","16","15","14","13","20",
"청주시","40대","동반가구원수[명]","명","","5","7","11","9","X","X","7","6","8",
"청주시","50대","귀농가구원수[명]","명","","38","60","48","53","64","39","45","48","34",
"청주시","50대","귀농인수[명]","명","","31","47","35","45","50","31","33","38","30",
"청주시","50대","동반가구원수[명]","명","","7","13","13","8","14","8","12","10","4",
"청주시","60대","귀농가구원수[명]","명","","20","30","19","30","32","39","36","36","38",
"청주시","60대","귀농인수[명]","명","","17","22","15","24","26","31","27","31","32",
"청주시","60대","동반가구원수[명]","명","","X","8","4","6","6","8","9","5","6",
"청주시","70대이상","귀농가구원수[명]","명","","X","14","8","9","11","6","12","11","6",
"청주시","70대이상","귀농인수[명]","명","","X","10","6","5","6","4","5","8","X",
"청주시","70대이상","동반가구원수[명]","명","","0","4","X","4","5","X","7","X","X",
"충주시","계","귀농가구원수[명]","명","147","122","140","224","177","195","139","139","122","131",
"충주시","계","귀농인수[명]","명","88","72","89","151","118","114","98","101","90","97",
"충주시","계","동반가구원수[명]","명","59","50","51","73","59","81","41","38","32","34",
"충주시","30대이하","귀농가구원수[명]","명","27","29","23","47","41","61","28","42","19","15",
"충주시","30대이하","귀농인수[명]","명","5","6","5","17","7","10","6","22","11","6",
"충주시","30대이하","동반가구원수[명]","명","22","23","18","30","34","51","22","20","8","9",
"충주시","40대","귀농가구원수[명]","명","19","15","13","24","34","25","25","10","11","13",
"충주시","40대","귀농인수[명]","명","16","11","10","19","27","17","20","8","8","10",
"충주시","40대","동반가구원수[명]","명","X","4","X","5","7","8","5","X","X","X",
"충주시","50대","귀농가구원수[명]","명","67","51","62","77","62","67","47","45","40","35",
"충주시","50대","귀농인수[명]","명","44","36","40","63","50","54","39","37","31","28",
"충주시","50대","동반가구원수[명]","명","23","15","22","14","12","13","8","8","9","7",
"충주시","60대","귀농가구원수[명]","명","27","15","33","58","35","31","32","35","40","57",
"충주시","60대","귀농인수[명]","명","19","11","28","40","30","27","29","30","32","46",
"충주시","60대","동반가구원수[명]","명","8","4","5","18","5","4","X","5","8","11",
"충주시","70대이상","귀농가구원수[명]","명","7","12","9","18","5","11","7","7","12","11",
"충주시","70대이상","귀농인수[명]","명","4","8","6","12","4","6","4","4","8","7",
"충주시","70대이상","동반가구원수[명]","명","X","4","X","6","X","5","X","X","4","4",
"제천시","계","귀농가구원수[명]","명","74","144","136","129","122","87","90","70","143","76",
"제천시","계","귀농인수[명]","명","52","87","79","80","74","63","69","51","98","61",
"제천시","계","동반가구원수[명]","명","22","57","57","49","48","24","21","19","45","15",
"제천시","30대이하","귀농가구원수[명]","명","14","32","26","18","21","11","10","10","19","5",
"제천시","30대이하","귀농인수[명]","명","6","8","5","X","X","X","X","X","5","X",
"제천시","30대이하","동반가구원수[명]","명","8","24","21","16","19","8","7","8","14","X",
"제천시","40대","귀농가구원수[명]","명","15","17","11","15","18","11","8","8","5","5",
"제천시","40대","귀농인수[명]","명","11","11","8","10","13","9","7","6","5","4",
"제천시","40대","동반가구원수[명]","명","4","6","X","5","5","X","X","X","0","X",
"제천시","50대","귀농가구원수[명]","명","31","56","55","56","41","32","45","17","53","22",
"제천시","50대","귀농인수[명]","명","26","40","36","38","28","26","37","15","42","20",
"제천시","50대","동반가구원수[명]","명","5","16","19","18","13","6","8","X","11","X",
"제천시","60대","귀농가구원수[명]","명","9","32","37","35","38","26","24","29","59","42",
"제천시","60대","귀농인수[명]","명","6","23","25","28","29","19","21","24","42","33",
"제천시","60대","동반가구원수[명]","명","X","9","12","7","9","7","X","5","17","9",
"제천시","70대이상","귀농가구원수[명]","명","5","7","7","5","4","7","X","6","7","X",
"제천시","70대이상","귀농인수[명]","명","X","5","5","X","X","6","X","4","4","X",
"제천시","70대이상","동반가구원수[명]","명","X","X","X","X","X","X","X","X","X","X",
"청원군","계","귀농가구원수[명]","명","121","","","","","","","","","",
"청원군","계","귀농인수[명]","명","78","","","","","","","","","",
"청원군","계","동반가구원수[명]","명","43","","","","","","","","","",
"청원군","30대이하","귀농가구원수[명]","명","37","","","","","","","","","",
"청원군","30대이하","귀농인수[명]","명","14","","","","","","","","","",
"청원군","30대이하","동반가구원수[명]","명","23","","","","","","","","","",
"청원군","40대","귀농가구원수[명]","명","22","","","","","","","","","",
"청원군","40대","귀농인수[명]","명","16","","","","","","","","","",
"청원군","40대","동반가구원수[명]","명","6","","","","","","","","","",
"청원군","50대","귀농가구원수[명]","명","38","","","","","","","","","",
"청원군","50대","귀농인수[명]","명","29","","","","","","","","","",
"청원군","50대","동반가구원수[명]","명","9","","","","","","","","","",
"청원군","60대","귀농가구원수[명]","명","22","","","","","","","","","",
"청원군","60대","귀농인수[명]","명","18","","","","","","","","","",
"청원군","60대","동반가구원수[명]","명","4","","","","","","","","","",
"청원군","70대이상","귀농가구원수[명]","명","X","","","","","","","","","",
"청원군","70대이상","귀농인수[명]","명","X","","","","","","","","","",
"청원군","70대이상","동반가구원수[명]","명","X","","","","","","","","","",
"보은군","계","귀농가구원수[명]","명","129","152","148","160","133","125","121","101","138","113",
"보은군","계","귀농인수[명]","명","82","91","92","92","87","89","88","75","109","85",
"보은군","계","동반가구원수[명]","명","47","61","56","68","46","36","33","26","29","28",
"보은군","30대이하","귀농가구원수[명]","명","21","38","33","37","22","20","25","20","11","19",
"보은군","30대이하","귀농인수[명]","명","0","6","11","4","8","7","8","7","5","9",
"보은군","30대이하","동반가구원수[명]","명","21","32","22","33","14","13","17","13","6","10",
"보은군","40대","귀농가구원수[명]","명","30","30","11","24","11","18","11","8","9","9",
"보은군","40대","귀농인수[명]","명","22","21","6","18","9","17","9","7","7","9",
"보은군","40대","동반가구원수[명]","명","8","9","5","6","X","X","X","X","X","0",
"보은군","50대","귀농가구원수[명]","명","58","42","71","55","55","54","43","30","54","37",
"보은군","50대","귀농인수[명]","명","44","35","49","36","40","40","36","22","44","28",
"보은군","50대","동반가구원수[명]","명","14","7","22","19","15","14","7","8","10","9",
"보은군","60대","귀농가구원수[명]","명","17","35","28","35","32","33","35","37","52","39",
"보은군","60대","귀농인수[명]","명","15","25","22","29","22","25","30","33","45","33",
"보은군","60대","동반가구원수[명]","명","X","10","6","6","10","8","5","4","7","6",
"보은군","70대이상","귀농가구원수[명]","명","X","7","5","9","13","0","7","6","12","9",
"보은군","70대이상","귀농인수[명]","명","X","4","4","5","8","0","5","6","8","6",
"보은군","70대이상","동반가구원수[명]","명","X","X","X","4","5","0","X","0","4","X",
"옥천군","계","귀농가구원수[명]","명","153","126","152","169","150","151","120","177","194","163",
"옥천군","계","귀농인수[명]","명","94","71","94","110","95","108","84","124","144","127",
"옥천군","계","동반가구원수[명]","명","59","55","58","59","55","43","36","53","50","36",
"옥천군","30대이하","귀농가구원수[명]","명","30","41","27","32","34","24","14","35","33","19",
"옥천군","30대이하","귀농인수[명]","명","7","8","X","10","7","8","X","9","10","6",
"옥천군","30대이하","동반가구원수[명]","명","23","33","24","22","27","16","13","26","23","13",
"옥천군","40대","귀농가구원수[명]","명","25","19","27","23","18","18","15","18","24","21",
"옥천군","40대","귀농인수[명]","명","18","12","18","17","13","14","14","15","16","17",
"옥천군","40대","동반가구원수[명]","명","7","7","9","6","5","4","X","X","8","4",
"옥천군","50대","귀농가구원수[명]","명","66","33","62","57","55","55","53","65","77","44",
"옥천군","50대","귀농인수[명]","명","46","26","49","42","39","44","34","55","66","39",
"옥천군","50대","동반가구원수[명]","명","20","7","13","15","16","11","19","10","11","5",
"옥천군","60대","귀농가구원수[명]","명","26","25","32","48","32","40","35","52","53","64",
"옥천군","60대","귀농인수[명]","명","20","21","23","35","26","31","32","40","47","54",
"옥천군","60대","동반가구원수[명]","명","6","4","9","13","6","9","X","12","6","10",
"옥천군","70대이상","귀농가구원수[명]","명","6","8","4","9","11","14","X","7","7","15",
"옥천군","70대이상","귀농인수[명]","명","X","4","X","6","10","11","X","5","5","11",
"옥천군","70대이상","동반가구원수[명]","명","X","4","X","X","X","X","0","X","X","4",
"영동군","계","귀농가구원수[명]","명","181","217","228","220","187","169","147","181","176","200",
"영동군","계","귀농인수[명]","명","115","131","137","145","122","115","99","136","143","152",
"영동군","계","동반가구원수[명]","명","66","86","91","75","65","54","48","45","33","48",
"영동군","30대이하","귀농가구원수[명]","명","40","47","60","44","47","28","24","27","25","34",
"영동군","30대이하","귀농인수[명]","명","10","8","11","13","15","8","4","11","17","12",
"영동군","30대이하","동반가구원수[명]","명","30","39","49","31","32","20","20","16","8","22",
"영동군","40대","귀농가구원수[명]","명","30","44","31","35","14","24","17","22","16","23",
"영동군","40대","귀농인수[명]","명","25","31","24","26","12","18","14","20","15","21",
"영동군","40대","동반가구원수[명]","명","5","13","7","9","X","6","X","X","X","X",
"영동군","50대","귀농가구원수[명]","명","71","68","80","79","66","60","53","56","68","60",
"영동군","50대","귀농인수[명]","명","50","50","59","58","51","44","39","43","55","50",
"영동군","50대","동반가구원수[명]","명","21","18","21","21","15","16","14","13","13","10",
"영동군","60대","귀농가구원수[명]","명","32","46","42","51","56","47","47","57","60","68",
"영동군","60대","귀농인수[명]","명","22","32","35","41","41","36","39","50","50","59",
"영동군","60대","동반가구원수[명]","명","10","14","7","10","15","11","8","7","10","9",
"영동군","70대이상","귀농가구원수[명]","명","8","12","15","11","4","10","6","19","7","15",
"영동군","70대이상","귀농인수[명]","명","8","10","8","7","X","9","X","12","6","10",
"영동군","70대이상","동반가구원수[명]","명","0","X","7","4","X","X","X","7","X","5",
"증평군","계","귀농가구원수[명]","명","20","15","27","35","28","29","22","21","26","19",
"증평군","계","귀농인수[명]","명","12","12","16","17","19","18","14","15","20","13",
"증평군","계","동반가구원수[명]","명","8","X","11","18","9","11","8","6","6","6",
"증평군","30대이하","귀농가구원수[명]","명","7","X","9","17","7","7","5","X","X","9",
"증평군","30대이하","귀농인수[명]","명","X","X","X","5","5","X","X","X","X","X",
"증평군","30대이하","동반가구원수[명]","명","6","0","6","12","X","5","X","X","0","6",
"증평군","40대","귀농가구원수[명]","명","X","X","4","5","4","4","X","6","X","X",
"증평군","40대","귀농인수[명]","명","X","X","X","X","X","X","X","4","X","X",
"증평군","40대","동반가구원수[명]","명","0","X","X","X","X","X","X","X","0","0",
"증평군","50대","귀농가구원수[명]","명","8","5","4","9","10","8","7","6","8","4",
"증평군","50대","귀농인수[명]","명","7","4","X","6","9","5","6","5","5","4",
"증평군","50대","동반가구원수[명]","명","X","X","X","X","X","X","X","X","X","0",
"증평군","60대","귀농가구원수[명]","명","X","4","10","X","5","9","4","5","12","4",
"증평군","60대","귀농인수[명]","명","X","4","8","X","X","7","X","4","10","4",
"증평군","60대","동반가구원수[명]","명","0","0","X","0","X","X","X","X","X","0",
"증평군","70대이상","귀농가구원수[명]","명","X","0","0","X","X","X","X","X","X","0",
"증평군","70대이상","귀농인수[명]","명","X","0","0","X","0","X","X","X","X","0",
"증평군","70대이상","동반가구원수[명]","명","X","0","0","X","X","0","X","X","X","0",
"진천군","계","귀농가구원수[명]","명","57","69","82","61","63","48","58","80","82","56",
"진천군","계","귀농인수[명]","명","37","47","48","50","45","38","46","58","56","48",
"진천군","계","동반가구원수[명]","명","20","22","34","11","18","10","12","22","26","8",
"진천군","30대이하","귀농가구원수[명]","명","18","10","18","11","13","8","15","13","22","8",
"진천군","30대이하","귀농인수[명]","명","7","X","4","5","X","4","9","5","5","5",
"진천군","30대이하","동반가구원수[명]","명","11","7","14","6","10","4","6","8","17","X",
"진천군","40대","귀농가구원수[명]","명","11","15","14","5","11","4","6","10","11","6",
"진천군","40대","귀농인수[명]","명","9","14","8","5","10","4","4","7","9","5",
"진천군","40대","동반가구원수[명]","명","X","X","6","0","X","0","X","X","X","X",
"진천군","50대","귀농가구원수[명]","명","19","21","23","30","18","17","21","28","19","15",
"진천군","50대","귀농인수[명]","명","15","15","17","27","17","14","20","24","17","15",
"진천군","50대","동반가구원수[명]","명","4","6","6","X","X","X","X","4","X","0",
"진천군","60대","귀농가구원수[명]","명","7","13","20","11","17","18","14","28","21","24",
"진천군","60대","귀농인수[명]","명","5","9","15","11","13","16","12","21","17","20",
"진천군","60대","동반가구원수[명]","명","X","4","5","0","4","X","X","7","4","4",
"진천군","70대이상","귀농가구원수[명]","명","X","10","7","4","4","X","X","X","9","X",
"진천군","70대이상","귀농인수[명]","명","X","6","4","X","X","0","X","X","8","X",
"진천군","70대이상","동반가구원수[명]","명","X","4","X","X","X","X","X","0","X","0",
"괴산군","계","귀농가구원수[명]","명","169","198","212","206","183","149","201","192","204","170",
"괴산군","계","귀농인수[명]","명","104","137","137","136","119","107","131","130","160","140",
"괴산군","계","동반가구원수[명]","명","65","61","75","70","64","42","70","62","44","30",
"괴산군","30대이하","귀농가구원수[명]","명","32","33","31","21","36","19","46","37","30","24",
"괴산군","30대이하","귀농인수[명]","명","6","10","5","X","11","5","17","17","12","15",
"괴산군","30대이하","동반가구원수[명]","명","26","23","26","19","25","14","29","20","18","9",
"괴산군","40대","귀농가구원수[명]","명","29","37","25","24","16","10","28","23","17","11",
"괴산군","40대","귀농인수[명]","명","18","29","16","19","12","9","18","15","16","11",
"괴산군","40대","동반가구원수[명]","명","11","8","9","5","4","X","10","8","X","0",
"괴산군","50대","귀농가구원수[명]","명","62","72","96","94","73","66","72","54","57","52",
"괴산군","50대","귀농인수[명]","명","50","58","71","64","53","51","56","39","50","43",
"괴산군","50대","동반가구원수[명]","명","12","14","25","30","20","15","16","15","7","9",
"괴산군","60대","귀농가구원수[명]","명","34","43","53","53","51","46","45","60","84","66",
"괴산군","60대","귀농인수[명]","명","23","32","40","43","39","37","34","52","70","59",
"괴산군","60대","동반가구원수[명]","명","11","11","13","10","12","9","11","8","14","7",
"괴산군","70대이상","귀농가구원수[명]","명","12","13","7","14","7","8","10","18","16","17",
"괴산군","70대이상","귀농인수[명]","명","7","8","5","8","4","5","6","7","12","12",
"괴산군","70대이상","동반가구원수[명]","명","5","5","X","6","X","X","4","11","4","5",
"음성군","계","귀농가구원수[명]","명","116","130","95","165","141","124","79","129","139","112",
"음성군","계","귀농인수[명]","명","81","90","69","115","103","96","61","95","103","91",
"음성군","계","동반가구원수[명]","명","35","40","26","50","38","28","18","34","36","21",
"음성군","30대이하","귀농가구원수[명]","명","19","25","15","24","25","16","15","19","19","15",
"음성군","30대이하","귀농인수[명]","명","6","7","7","6","10","6","9","8","7","7",
"음성군","30대이하","동반가구원수[명]","명","13","18","8","18","15","10","6","11","12","8",
"음성군","40대","귀농가구원수[명]","명","20","20","11","23","17","21","4","11","16","13",
"음성군","40대","귀농인수[명]","명","15","14","9","16","15","19","4","7","13","10",
"음성군","40대","동반가구원수[명]","명","5","6","X","7","X","X","0","4","X","X",
"음성군","50대","귀농가구원수[명]","명","50","49","32","70","48","35","32","34","41","37",
"음성군","50대","귀농인수[명]","명","40","44","27","55","36","28","27","32","31","34",
"음성군","50대","동반가구원수[명]","명","10","5","5","15","12","7","5","X","10","X",
"음성군","60대","귀농가구원수[명]","명","17","28","28","38","39","42","21","51","50","36",
"음성군","60대","귀농인수[명]","명","13","21","18","32","32","35","16","36","41","31",
"음성군","60대","동반가구원수[명]","명","4","7","10","6","7","7","5","15","9","5",
"음성군","70대이상","귀농가구원수[명]","명","10","8","9","10","12","10","7","14","13","11",
"음성군","70대이상","귀농인수[명]","명","7","4","8","6","10","8","5","12","11","9",
"음성군","70대이상","동반가구원수[명]","명","X","4","X","4","X","X","X","X","X","X",
"단양군","계","귀농가구원수[명]","명","139","109","108","115","113","100","73","81","83","70",
"단양군","계","귀농인수[명]","명","92","75","70","71","80","69","57","61","60","52",
"단양군","계","동반가구원수[명]","명","47","34","38","44","33","31","16","20","23","18",
"단양군","30대이하","귀농가구원수[명]","명","27","20","22","19","13","9","7","5","4","9",
"단양군","30대이하","귀농인수[명]","명","7","X","X","X","X","X","X","X","0","X",
"단양군","30대이하","동반가구원수[명]","명","20","17","19","17","10","8","4","X","4","8",
"단양군","40대","귀농가구원수[명]","명","23","21","21","14","9","5","X","7","10","X",
"단양군","40대","귀농인수[명]","명","15","15","14","8","8","X","X","5","6","X",
"단양군","40대","동반가구원수[명]","명","8","6","7","6","X","X","0","X","4","0",
"단양군","50대","귀농가구원수[명]","명","59","47","38","47","56","48","34","35","30","25",
"단양군","50대","귀농인수[명]","명","46","41","33","36","44","36","27","27","24","19",
"단양군","50대","동반가구원수[명]","명","13","6","5","11","12","12","7","8","6","6",
"단양군","60대","귀농가구원수[명]","명","26","17","22","29","32","34","25","28","33","31",
"단양군","60대","귀농인수[명]","명","23","14","17","21","24","26","22","24","26","28",
"단양군","60대","동반가구원수[명]","명","X","X","5","8","8","8","X","4","7","X",
"단양군","70대이상","귀농가구원수[명]","명","4","4","5","6","X","4","5","6","6","X",
"단양군","70대이상","귀농인수[명]","명","X","X","X","4","X","X","X","X","4","X",
"단양군","70대이상","동반가구원수[명]","명","X","X","X","X","X","X","X","X","X","X",
"충청남도","계","귀농가구원수[명]","명","1933","1928","2206","2253","2111","1921","1739","2052","2510","2139",
"충청남도","계","귀농인수[명]","명","1123","1226","1390","1438","1405","1328","1268","1502","1821","1595",
"충청남도","계","동반가구원수[명]","명","810","702","816","815","706","593","471","550","689","544",
"충청남도","30대이하","귀농가구원수[명]","명","526","445","495","527","470","423","321","397","435","329",
"충청남도","30대이하","귀농인수[명]","명","113","98","116","133","135","156","128","162","178","125",
"충청남도","30대이하","동반가구원수[명]","명","413","347","379","394","335","267","193","235","257","204",
