"행정구역별","연령별","항목","단위","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년",
"대구광역시","40대","귀농인수[명]","명","15","17","14","18","19","11","13","6","12","11",
"대구광역시","40대","동반가구원수[명]","명","6","7","6","14","10","10","4","X","X","X",
"대구광역시","50대","귀농가구원수[명]","명","25","49","44","44","52","26","33","23","25","24",
"대구광역시","50대","귀농인수[명]","명","18","35","32","32","32","21","22","18","19","17",
"대구광역시","50대","동반가구원수[명]","명","7","14","12","12","20","5","11","5","6","7",
"대구광역시","60대","귀농가구원수[명]","명","12","12","17","28","28","17","26","27","35","25",
"대구광역시","60대","귀농인수[명]","명","8","10","15","19","22","13","21","19","28","19",
"대구광역시","60대","동반가구원수[명]","명","4","X","X","9","6","4","5","8","7","6",
"대구광역시","70대이상","귀농가구원수[명]","명","8","X","6","6","X","5","6","5","X","11",
"대구광역시","70대이상","귀농인수[명]","명","5","X","X","5","X","4","6","4","X","5",
"대구광역시","70대이상","동반가구원수[명]","명","X","0","X","X","0","X","0","X","X","6",
"달성군","계","귀농가구원수[명]","명","103","128","137","182","200","113","135","97","111","103",
"달성군","계","귀농인수[명]","명","56","70","72","92","89","59","76","58","71","62",
"달성군","계","동반가구원수[명]","명","47","58","65","90","111","54","59","39","40","41",
"달성군","30대이하","귀농가구원수[명]","명","37","41","50","72","88","44","53","33","33","29",
"달성군","30대이하","귀농인수[명]","명","10","6","8","18","13","10","14","11","10","10",
"달성군","30대이하","동반가구원수[명]","명","27","35","42","54","75","34","39","22","23","19",
"달성군","40대","귀농가구원수[명]","명","21","24","20","32","29","21","17","9","15","14",
"달성군","40대","귀농인수[명]","명","15","17","14","18","19","11","13","6","12","11",
"달성군","40대","동반가구원수[명]","명","6","7","6","14","10","10","4","X","X","X",
"달성군","50대","귀농가구원수[명]","명","25","49","44","44","52","26","33","23","25","24",
"달성군","50대","귀농인수[명]","명","18","35","32","32","32","21","22","18","19","17",
"달성군","50대","동반가구원수[명]","명","7","14","12","12","20","5","11","5","6","7",
"달성군","60대","귀농가구원수[명]","명","12","12","17","28","28","17","26","27","35","25",
"달성군","60대","귀농인수[명]","명","8","10","15","19","22","13","21","19","28","19",
"달성군","60대","동반가구원수[명]","명","4","X","X","9","6","4","5","8","7","6",
"달성군","70대이상","귀농가구원수[명]","명","8","X","6","6","X","5","6","5","X","11",
"달성군","70대이상","귀농인수[명]","명","5","X","X","5","X","4","6","4","X","5",
"달성군","70대이상","동반가구원수[명]","명","X","0","X","X","0","X","0","X","X","6",
"인천광역시","계","귀농가구원수[명]","명","111","137","159","189","185","201","194","169","229","154",
"인천광역시","계","귀농인수[명]","명","82","88","104","125","138","134","146","122","171","118",
"인천광역시","계","동반가구원수[명]","명","29","49","55","64","47","67","48","47","58","36",
"인천광역시","30대이하","귀농가구원수[명]","명","15","26","38","37","20","31","25","28","47","19",
"인천광역시","30대이하","귀농인수[명]","명","6","6","11","10","9","6","9","13","20","6",
"인천광역시","30대이하","동반가구원수[명]","명","9","20","27","27","11","25","16","15","27","13",
"인천광역시","40대","귀농가구원수[명]","명","14","20","15","16","21","26","18","20","20","10",
"인천광역시","40대","귀농인수[명]","명","11","18","12","12","14","19","14","15","16","8",
"인천광역시","40대","동반가구원수[명]","명","X","X","X","4","7","7","4","5","4","X",
"인천광역시","50대","귀농가구원수[명]","명","49","48","57","67","85","70","67","49","57","47",
"인천광역시","50대","귀농인수[명]","명","40","32","46","51","69","56","56","39","49","41",
"인천광역시","50대","동반가구원수[명]","명","9","16","11","16","16","14","11","10","8","6",
"인천광역시","60대","귀농가구원수[명]","명","24","36","36","52","44","59","69","57","77","58",
"인천광역시","60대","귀농인수[명]","명","17","27","25","38","35","44","54","44","65","47",
"인천광역시","60대","동반가구원수[명]","명","7","9","11","14","9","15","15","13","12","11",
"인천광역시","70대이상","귀농가구원수[명]","명","9","7","13","17","15","15","15","15","28","20",
"인천광역시","70대이상","귀농인수[명]","명","8","5","10","14","11","9","13","11","21","16",
"인천광역시","70대이상","동반가구원수[명]","명","X","X","X","X","4","6","X","4","7","4",
"강화군","계","귀농가구원수[명]","명","93","107","143","166","164","185","177","149","199","136",
"강화군","계","귀농인수[명]","명","71","72","95","109","123","123","132","110","148","100",
"강화군","계","동반가구원수[명]","명","22","35","48","57","41","62","45","39","51","36",
"강화군","30대이하","귀농가구원수[명]","명","11","19","35","32","20","29","24","22","40","19",
"강화군","30대이하","귀농인수[명]","명","5","4","10","8","9","6","8","11","16","6",
"강화군","30대이하","동반가구원수[명]","명","6","15","25","24","11","23","16","11","24","13",
"강화군","40대","귀농가구원수[명]","명","13","18","14","14","18","24","13","15","18","9",
"강화군","40대","귀농인수[명]","명","10","16","12","10","12","17","10","12","14","7",
"강화군","40대","동반가구원수[명]","명","X","X","X","4","6","7","X","X","4","X",
"강화군","50대","귀농가구원수[명]","명","39","34","52","57","76","64","59","47","49","39",
"강화군","50대","귀농인수[명]","명","32","25","43","44","63","51","50","38","43","33",
"강화군","50대","동반가구원수[명]","명","7","9","9","13","13","13","9","9","6","6",
