"시도별(1)","종류별(1)",2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023
"시도별(1)","종류별(1)",합계,● 사과,● 배,● 복숭아,● 포도,● 감귤,● 감,● 떫은감,● 단감,● 자두,● 매실,● 유자,● 기타과수,합계,● 사과,● 배,● 복숭아,● 포도,● 감귤,● 감,● 떫은감,● 단감,● 자두,● 매실,● 유자,● 기타과수,합계,● 사과,● 배,● 복숭아,● 포도,● 감귤,● 감,● 떫은감,● 단감,● 자두,● 매실,● 유자,● 기타과수,합계,● 사과,● 배,● 복숭아,● 포도,● 감귤,● 감,● 떫은감,● 단감,● 자두,● 매실,● 유자,● 기타과수,합계,● 사과,● 배,● 복숭아,● 포도,● 감귤,● 감,● 떫은감,● 단감,● 자두,● 매실,● 유자,● 기타과수,합계,● 사과,● 배,● 복숭아,● 포도,● 감귤,● 감,● 떫은감,● 단감,● 자두,● 매실,● 유자,● 기타과수,합계,● 사과,● 배,● 복숭아,● 포도,● 감귤,● 감,● 떫은감,● 단감,● 자두,● 매실,● 유자,● 기타과수,합계,● 사과,● 배,● 복숭아,● 포도,● 감귤,● 감,● 떫은감,● 단감,● 자두,● 매실,● 유자,● 기타과수,합계,● 사과,● 배,● 복숭아,● 포도,● 감귤,● 감,● 떫은감,● 단감,● 자두,● 매실,● 유자,● 기타과수,합계,● 사과,● 배,● 복숭아,● 포도,● 감귤,● 감,● 떫은감,● 단감,● 자두,● 매실,● 유자,● 기타과수
"세종특별자치시","합계",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,837,15,150,478,73,0,2,2,0,0,63,0,56,925.5463,10.3804,155.6527,520.5865,58.9342,0,8.7376,1.1205,7.6171,7.2346,60.4183,0,103.602,812.799,12.7561,129.2528,478.0173,57.9733,0,1.1729,0.9601,0.2128,6.6863,48.0555,0,78.8848,771.1288,10.5555,92.0377,456.9726,62.9555,0,1.575,1.1053,0.4697,4.2332,40.8128,0,101.9865,734.0434,0.5711,113.0708,399.5139,64.3197,0,1.6077,1.6077,0,3.9167,41.8558,0,109.1877,795.5496,17.207,119.5063,503.2987,44.3236,0,7.5603,6.5374,1.0229,6.0071,12.1062,0,85.5404,841.2855,1.6575,138.5309,554.6951,46.0456,0,7.0984,5.9898,1.1086,3.0097,13.1656,0,77.0827,785.7105,1.8184,111.4251,492.2246,43.192,0,8.109,7.3745,0.7345,11.3058,17.468,0,100.1676
"경기도","합계",7357,268,2577,883,1788,0,46,42,4,56,1023,0,716,7151,330,2426,912,1522,0,44,40,4,60,929,0,928,7693,295,2248,1033,1876,0,42,38,4,69,905,0,1225,7995.0842,309.5074,2108.3052,1154.5091,1773.9003,0,60.183,54.3786,5.8044,51.5332,897.7294,0,1639.4166,8128.38,315.6965,2017.6572,1127.0936,1682.335,0,53.5281,47.6012,5.9269,48.472,873.1233,0,2010.4743,7810.3995,341.0187,1908.1292,1011.3691,1621.7039,0,52.3409,43.4064,8.9345,47.8891,831.183,0,1996.7656,7723.243,353.1252,1920.7113,977.6752,1529.039,0,46.1917,37.5011,8.6906,58.2157,779.9939,0,2058.291,6658.3267,524.2067,1596.675,894.7789,1323.8336,0,33.6349,26.1915,7.4434,87.8626,620.7256,0,1576.6094,6338.132,518.8011,1530.2277,830.5595,1154.98,0,76.4795,66.2006,10.2789,90.4171,545.4756,0,1591.1876,6258.7996,478.055,1487.9055,888.7189,1053.1014,0,54.2061,41.4263,12.7798,101.0326,507.0255,0,1688.7546
"강원도","합계",2410,522,137,538,191,0,280,241,39,72,222,0,448,2747,721,134,596,154,0,266,241,25,74,234,0,568,3156,831,159,558,281,0,278,272,6,37,202,0,810,3407.1107,929.9594,189.8592,550.7396,251.9014,0,234.3389,228.3259,6.013,52.2919,168.4116,0,1029.6087,3324.2979,947.2785,181.5154,558.9479,201.2607,0,246.4744,245.3529,1.1215,41.45,162.3306,0,985.0404,3541.329,1091.9981,203.6151,590.321,208.8736,0,262.3321,259.1965,3.1356,62.026,168.8128,0,953.3503,3440.9126,1124.3876,140.1726,583.7486,223.0435,0,271.5909,269.1998,2.3911,79.8592,158.3661,0,859.7441,4126.3692,1578.6705,133.1493,734.7417,183.5218,0,265.4492,263.5787,1.8705,106.3893,137.168,0,987.2794,4240.7921,1630.2814,137.1122,769.7912,182.6887,0,287.1073,281.9236,5.1837,135.462,105.2095,0,993.1398,4283.0592,1678.6857,140.0779,814.7389,149.5088,0,263.4432,256.4387,7.0045,113.7941,116.5243,0,1006.2863
"충청북도","합계",13713,3877,526,3775,2079,0,970,966,4,251,719,0,1516,14033,3984,502,4174,1892,0,898,896,2,290,610,0,1683,14804,4087,412,5380,1142,0,851,849,2,400,507,0,2025,14739.0392,4023.8512,398.8574,5827.0551,865.4839,0,759.4675,756.2278,3.2397,402.902,467.5594,0,1993.8627,14843.5744,4056.1745,405.0832,5756.3463,867.9954,0,796.9363,796.9363,0,426.4616,379.6557,0,2154.9214,14092.0165,3928.5437,362.2162,5569.2969,779.469,0,645.8434,644.7384,1.105,440.877,282.5276,0,2083.2427,13459.3024,3644.9688,314.6386,5353.8323,824.5828,0,669.3384,667.5543,1.7841,486.8773,233.9875,0,1931.0767,12612.5823,3594.1331,246.0073,4926.6625,962.4067,0,471.1523,446.2324,24.9199,486.1139,169.1881,0,1756.9184,12866.3169,3703.1042,232.1184,4961.6816,1060.21,0,546.6503,537.5325,9.1178,468.4806,149.2194,0,1744.8555,12694.7794,3738.4501,186.6314,4661.1654,1234.2502,0,516.6047,507.6491,8.9556,421.2991,157.9103,0,1778.4682
"충청남도","합계",7320,1358,2389,520,825,0,524,437,87,47,899,0,758,7133,1283,2334,515,775,0,534,487,47,77,754,0,861,6913,1600,2094,395,874,0,493,434,59,21,557,0,879,7185.2052,1574.2394,2118.6415,405.2537,792.3985,0,490.5928,444.9036,45.6892,28.8492,522.0833,0,1253.1468,6821.5585,1437.3623,2057.1979,379.1127,786.4473,0,437.9139,394.9688,42.9451,32.2212,496.1212,0,1195.182,6629.3793,1435.9505,2012.3368,371.3631,687.8453,0,464.9069,390.5784,74.3285,25.0189,418.9403,0,1213.0175,6318.3229,1297.0499,1956.2109,370.1306,620.0973,0,441.3206,316.5032,124.8174,31.1647,416.348,0,1186.0009,6809.5011,1533.6432,2107.7094,293.0883,712.0362,0,393.842,346.3742,47.4678,21.1675,270.003,0,1478.0115,6567.6763,1563.6065,1991.4736,280.4642,631.2976,0,395.2358,317.0266,78.2092,22.6458,271.7718,0,1411.181,6424.4042,1448.0179,2127.2507,275.5394,584.7288,0,362.7758,297.9151,64.8607,27.7674,256.2857,0,1342.0385
"전라북도","합계",9050,2078,617,808,631,0,1472,1376,96,42,869,1,2532,9448,2223,618,913,587,0,1515,1399,116,48,868,0,2676,10330,2360,681,1265,705,0,1558,1480,78,84,942,0,2735,10313.152,2524.8156,715.0301,1341.3535,584.543,0,1538.6627,1424.17,114.4922,97.6266,788.3272,0,2722.7933,9985.093,2642.5413,647.9107,1373.9021,552.8075,0,1439.6464,1324.46,115.1873,84.6889,704.6373,0,2538.9588,9651.509,2698.3831,536.7841,1344.9897,484.4636,0,1429.7107,1359.73,69.9762,70.0887,627.8868,0,2459.2023,8831.8598,2449.1548,532.2536,1309.0127,509.7653,0,1256.7874,1174.83,81.9619,77.2167,554.9174,0,2142.7519,7115.7313,2032.8281,730.0802,1066.923,492.5283,0,1020.2705,909.0252,111.2453,63.694,309.5651,0,1399.8421,7495.1279,2317.2226,819.1994,1143.8054,275.6023,0,1062.1853,996.0716,66.1137,40.4615,301.9711,0,1534.6803,7584.2601,2226.8618,788.3082,1171.2422,392.3469,0,1049.516,940.3107,109.2053,53.8236,259.0601,0,1643.1013
"전라남도","합계",18487,308,3457,480,198,1,6457,2980,3477,94,4433,568,2491,18578,289,3499,506,198,1,6055,2947,3108,86,4300,646,2998,18304,554,2499,692,172,0,6026,2998,3028,53,4662,703,2943,18179.6382,533.3394,2449.8134,758.6493,209.3925,4.5695,5790.8653,2863.17,2927.6996,65.2224,4576.3769,803.6392,2987.7703,17582.573,545.4847,2330.0476,709.6958,188.9575,6.1719,5606.6702,2933.27,2673.3969,75.2056,4223.9874,797.5053,3098.847,17131.793,557.2449,2230.2928,780.4253,163.2253,5.0921,5441.3259,2941.56,2499.7709,74.9862,3795.8803,808.1872,3275.133,16486.8097,562.3377,2142.8002,788.3146,134.4227,4.1716,5203.7784,2852.87,2350.9127,78.2274,3479.1624,897.9113,3195.6834,14501.8323,207.6475,2551.8936,776.5142,65.6813,0,4819.0066,2862.37,1956.6402,109.0258,2622.5614,794.2549,2555.247,15536.0078,218.2882,2729.3199,910.8739,84.5526,0.006,5212.9364,3016.41,2196.5253,107.1008,2779.1857,925.1627,2568.5816,15262.4107,240.0893,2710.1983,966.039,89.6641,2.9121,5039.4387,2959.7359,2079.7028,92.9824,2578.5794,937.0236,2605.4838
"경상북도","합계",53078,18811,1536,7903,7092,0,7574,6829,745,4756,990,0,4416,53486,19247,1422,8412,6865,0,7166,6450,716,4933,983,0,4458,56137,20083,1309,9288,7015,0,6625,6084,541,5999,915,0,4903,55983.1124,20178.2055,1286.8604,9658.1758,6056.1007,0,6715.4836,6161.77,553.7146,6207.641,914.3036,0.1914,4966.1504,55070.5923,19780.4451,1222.6284,9767.1116,6010.7363,0,6437.4939,5881.74,555.7531,6089.8219,758.4881,0,5003.867,53826.0491,19461.6107,1165.1777,9577.5958,6012.0083,0,6127.8771,5654.5,473.3735,5885.0791,724.6512,0,4872.0492,53005.8263,18704.9544,1081.1239,9764.397,6124.781,0,5951.6829,5483.97,467.7098,5996.6409,612.5963,0,4769.6499,52330.9644,20955.2617,1106.3864,9432.3626,6323.9943,0,5042.9956,4569.19,473.8043,5390.5615,381.1363,0,3698.266,53991.8605,20685.0018,1004.8634,10016.6115,7126.72,0,5232.7912,4798.71,434.081,5375.7475,365.4489,0,4184.6718,53117.5772,20046.3936,986.2688,10002.1016,7151.6719,0,5143.9793,4716.0756,427.9037,5231.9763,307.6536,0,4247.5321
"경상남도","합계",19678,3370,935,359,379,0,9507,2325,7182,226,2270,221,2411,19678,3444,835,371,371,0,9427,2363,7064,249,2154,185,2642,17777,3339,641,365,243,0,8155,2532,5623,216,1982,155,2681,17780.9825,3386.5439,632.8129,397.7483,249.9243,0.3287,8009.6174,2638.32,5371.2928,223.0405,1885.9123,157.1828,2837.8714,17698.7534,3374.1545,584.8303,483.8598,274.9381,0.646,7748.7515,2599.01,5149.7459,230.8523,1775.0502,139.9171,3085.7536,16883.923,3313.2847,434.514,491.5696,275.7474,0.4667,7451.3465,2523.27,4928.0778,278.2028,1597.4536,98.7816,2942.5561,16101.8228,3339.6851,302.6519,487.2576,260.3673,0.4451,7076.3088,2257.02,4819.2898,284.6452,1402.6287,113.9494,2833.8837,16893.7348,3774.0259,422.8954,472.4562,219.088,1.2845,8010.3582,2066.83,5943.5331,280.8078,1167.6015,162.9369,2382.2804,18187.7643,3820.4063,491.726,491.9312,252.827,0.6473,8652.0425,2310.68,6341.3611,323.402,1298.0542,210.8821,2645.8457,17925.3441,3768.1836,475.3607,488.9974,225.5948,0.2076,8591.628,2432.358,6159.27,321.8024,1179.5724,213.0646,2660.9326
"제주도","합계",17659,0,13,0,0,17006,98,0,98,0,227,130,185,17324,0,8,1,0,16691,71,0,71,0,215,146,192,18113,0,0,2,0,17624,89,0,89,0,160,0,238,17804.168,0.0345,0.0339,1.7815,0,17261.7401,95.2816,0,95.2816,0,169.0037,0,276.2927,17333.7797,0.0783,0.4214,2.1497,0.2014,16802.9902,144.2089,0,144.2089,0,132.5677,0,251.1621,16765.338,0.3324,0.55,23.3761,0.3918,16247.5634,136.978,0,136.978,0,140.9713,0,215.175,16677.473,0.5221,0.4997,18.8167,0.2504,16155.0264,135.7812,0.5016,135.2796,0,142.9701,0,223.6064,16564.556,0.0163,0,0.2551,0.1314,16217.0296,26.9356,0.0784,26.8572,5.8981,57.4145,0,256.8754,16422.2684,0.065,0.0776,0.0438,0.0929,16071.7136,16.6187,0,16.6187,0,58.6862,0,274.9706,16172.3869,0.127,0.1187,0.5629,0.3355,15817.7078,28.2797,0.8592,27.4205,0.8313,55.7352,0.0404,268.6484
