"품목군별(1)",품목군별(2),2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022
"품목군별(1)",품목군별(2),수량,총수입 (원),경영비 (원),소득 (원),소득률 (%),수량,총수입 (원),경영비 (원),소득 (원),소득률 (%),수량,총수입 (원),경영비 (원),소득 (원),소득률 (%),수량,총수입 (원),경영비 (원),소득 (원),소득률 (%),수량,총수입 (원),경영비 (원),소득 (원),소득률 (%),수량,총수입 (원),경영비 (원),소득 (원),소득률 (%),수량,총수입 (원),경영비 (원),소득 (원),소득률 (%),수량,총수입 (원),경영비 (원),소득 (원),소득률 (%),수량,총수입 (원),경영비 (원),소득 (원),소득률 (%),수량,총수입 (원),경영비 (원),소득 (원),소득률 (%)
"노지채소 (kg)",가을무,5612,2203734,846332,1357402,61.6,5697,1965774,749240,1216534,61.9,5390,1956983,885790,1071193,54.7,5470,3129176,1001954,2127222,68.0,5280,2484439,1003740,1480699,59.6,5151,2646315,1097604,1548711,58.5,5188,2965824,1134614,1831211,61.7,6168,2346947,1117386,1229561,52.4,5771,2478377,1041120,1437257,58.0,6540,2830632,1279838,1550794,54.8
"노지채소 (kg)",고랭지무,5687,2000772,916820,1083952,54.2,6628,2120960,961893,1159067,54.6,6523,2299272,1058211,1241061,54.0,7065,2749353,1262812,1486541,54.1,8386,2597452,1249093,1348359,51.9,6803,3592445,1529151,2063293,57.4,6556,2480256,1272185,1208071,48.7,6396,3480762,1467239,2013522,57.8,7491,2590084,1443890,1146194,44.3,7643,3464317,1651343,1812974,52.3
"노지채소 (kg)",당근,4184,3484866,1595346,1889520,54.2,4254,2830217,1649078,1181139,41.7,3925,2822075,1607801,1214274,43.0,3290,4213254,1621275,2591979,61.5,3946,2979236,1905023,1074213,36.1,3520,3383672,1892441,1491231,44.1,4234,3537440,2126669,1410771,39.9,3726,4024269,2141367,1882902,46.8,3984,2640570,1948366,692204,26.2,4057,5207995,2313680,2894316,55.6
"노지채소 (kg)",봄배추,7611,2093640,991074,1102566,52.7,7876,2102892,937180,1165712,55.4,7549,2415680,980888,1434792,59.4,7938,2192659,973109,1219550,55.6,7787,2039934,1018863,1021071,50.1,7551,1776490,954893,821598,46.2,7318,1807294,1053380,753914,41.7,7552,2174295,997529,1176766,54.1,7254,2072945,943876,1129069,54.5,7464,2503013,1207984,1295028,51.7
"노지채소 (kg)",가을배추,7140,2536444,980487,1555957,61.3,6825,2184000,894442,1289558,59.0,7021,2274584,875146,1399439,61.5,6850,3120781,892168,2228613,71.4,6862,2772204,1016853,1755351,63.3,6363,2654058,1000932,1653126,62.3,5669,3134018,1078868,2055150,65.6,6490,2661351,1148867,1512484,56.8,6143,2956473,1220690,1735783,58.7,6537,3006711,1344133,1662578,55.3
"노지채소 (kg)",고랭지배추,4857,2331360,1006251,1325109,56.8,5547,2107860,969754,1138106,54.0,5174,2100644,1040569,1060075,50.5,5760,2923804,1161343,1762461,60.3,5804,2425159,1199150,1226008,50.6,6155,2639270,1258364,1380906,52.3,5356,2103618,1322468,781150,37.1,6219,2743161,1477101,1266060,46.2,6444,2438936,1428956,1009980,41.4,5536,2393264,1326513,1066751,44.6
"노지채소 (kg)",노지시금치,909,2770137,828290,1941847,70.1,1064,2232272,875768,1356504,60.8,914,2521726,806372,1715354,68.0,975,2539683,916273,1623410,63.9,1042,2299661,845349,1454312,63.2,1123,2409425,896495,1512930,62.8,1169,2651581,1227279,1424302,53.7,1190,3077493,1051402,2026090,65.8,1124,3368659,1149486,2219173,65.9,1136,3368958,1124811,2244148,66.6
"노지채소 (kg)",양배추,5755,1910660,787415,1123245,58.8,5949,1606230,760993,845237,52.6,5759,1860157,953132,907025,48.8,5271,2482433,1033498,1448935,58.4,5427,2180886,1110720,1070166,49.1,5567,2087034,1114670,972364,46.6,4912,2134902,1350272,784630,36.8,6502,2487204,1292507,1194697,48.0,6761,2140768,1225664,915104,42.7,6349,2413581,1443196,970386,40.2
"노지채소 (kg)",노지부추,2634,5418138,1891970,3526168,65.1,2708,5686800,1795868,3890932,68.4,1906,3905394,1422814,2482580,63.6,2385,5350113,1457795,3892318,72.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"노지채소 (kg)",대파,3516,3035881,1311668,1724213,56.8,3442,2674434,1336977,1337457,50.0,3724,3642072,1508431,2133641,58.6,3576,4084090,1504323,2579767,63.2,3393,3314958,1364121,1950837,58.8,2961,2929019,1307571,1621449,55.4,3312,2831026,1308039,1522988,53.8,3192,3511459,1392701,2118758,60.3,3825,2777979,1443235,1334744,48.0,3803,3625668,1694945,1930723,53.3
"노지채소 (kg)",쪽파,2166,3519750,1566851,1952899,55.5,2041,3341117,1284844,2056273,61.5,2068,3691380,1240819,2450561,66.4,2010,5450914,1694055,3756859,68.9,2252,3968708,1670271,2298437,57.9,1994,3885368,1709700,2175668,56.0,1597,3659691,1626907,2032784,55.5,1698,6311104,1915364,4395740,69.7,1614,6088418,2559604,3528815,58.0,1777,5286603,2639349,2647255,50.1
"노지채소 (kg)",생강,1414,4459756,2116657,2343099,52.5,1527,6312618,2393622,3918996,62.1,1410,5511690,2210816,3300874,59.9,1578,3095257,1939070,1156187,37.4,1605,4756906,2247809,2509097,52.7,959,6320760,2927469,3393291,53.7,1419,7224562,3092973,4131588,57.2,1568,7315846,3952043,3363804,46.0,1864,5130262,3439266,1690996,33.0,1464,8825932,3869768,4956164,56.2
"시설채소 (kg)",소계,-,15547050,7842412,7704638,49.6,-,15577007,7840646,7736361,49.7,-,15990856,8004306,7986551,50.7,-,15220700,7620895,7599805,49.9,-,15089749,8046733,7043017,46.7,-,14799781,7905855,6893926,46.6,-,14614106,8460101,6154005,42.1,-,16302028,9233475,7068553,43.4,-,17612154,9668103,7944051,45.1,-,19631447,10707638,8923810,45.5
"시설채소 (kg)",수박(반촉성),4990,5783410,2538681,3244729,56.1,4970,5059460,2292292,2767168,54.7,5125,5806625,2449473,3357152,57.8,5151,5311371,2418416,2892955,54.5,5098,5579576,2448667,3130909,56.1,4911,5495211,2470833,3024378,55.0,4673,5517545,2469271,3048274,55.2,4654,5690183,2839175,2851008,50.1,4779,6326050,3056065,3269985,51.7,4697,7176440,3128270,4048170,56.4
"시설채소 (kg)",시설참외,4337,10587448,3925572,6661876,62.9,4068,9735672,3924949,5810723,59.7,4290,10001571,4038791,5962781,59.6,4093,9749847,3605405,6144442,63.0,4236,10053307,3672147,6381160,63.5,3696,9277408,3898758,5378650,58.0,3912,10192174,4393825,5798349,56.9,3725,9650311,4989783,4660528,48.3,3645,10570426,5113727,5456699,51.6,4328,12853780,6082595,6771185,52.7
"시설채소 (kg)",딸기(촉성),3551,20975169,9011501,11963668,57.0,3615,22123097,10284459,11838638,53.5,3429,22117663,10427396,11690267,52.9,3367,20242871,9908672,10334199,51.1,3534,21657985,10340544,11317441,52.3,3307,23343108,11614942,11728167,50.2,3445,22254894,12744633,9510261,42.7,3080,23161751,13228506,9933244,42.9,3184,26489721,14569698,11920023,45.0,3127,28996466,16297182,12699284,43.8
"시설채소 (kg)",딸기(반촉성),3182,20479057,10195624,10283433,50.2,3127,19878427,9329385,10549042,53.1,2938,20280910,8679091,11601819,57.2,2767,21342291,9356144,11986147,56.2,2795,20321087,9773564,10547523,51.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"시설채소 (kg)",오이(촉성),14293,28586859,15224389,13362470,46.7,14484,29779104,15799533,13979571,46.9,16141,32766230,17664761,15101469,46.1,17366,30870870,15510877,15359993,49.8,17329,27515700,14649126,12866574,46.8,15332,26005087,14350674,11654413,44.8,15628,27149297,15014789,12134508,44.7,15436,28922838,16296344,12626494,43.7,14852,29553862,16946678,12607184,42.7,15989,37355230,19326582,18028647,48.3
"시설채소 (kg)",오이(반촉성),10266,13746260,7188705,6557555,47.7,11035,13667203,7275498,6391705,46.8,10462,14089395,6997633,7091763,50.3,10624,13461305,6110672,7350633,54.6,10961,12745227,6436822,6308406,49.5,10011,13720645,6361612,7359033,53.6,10424,12696725,6422297,6274428,49.4,9581,14351408,6838685,7512723,52.3,9267,14417420,6463607,7953813,55.2,8411,15045287,6803524,8241763,54.8
"시설채소 (kg)",오이(억제),5272,7272596,3481570,3791026,52.1,6137,7548510,3729134,3819376,50.6,5624,8076064,3959061,4117003,51.0,5372,8286094,3792438,4493656,54.2,4935,6569792,3593397,2976396,45.3,5244,7217845,3151490,4066355,56.3,4984,7329758,4065662,3264096,44.5,4116,6591805,3607887,2983918,45.3,4533,7842576,4458042,3384534,43.2,5262,9022394,5364571,3657823,40.5
"시설채소 (kg)",시설호박,8655,12185327,5624940,6560387,53.8,8919,13605642,6150740,7454902,54.8,8720,12331391,5915490,6415901,52.0,7949,11187717,5467835,5719882,51.1,7995,9959901,5224763,4735138,47.5,7724,12272217,5577049,6695168,54.6,7906,9616402,5879319,3737083,38.9,7979,13879611,7077524,6802087,49.0,7420,13583987,7460594,6123393,45.1,8163,15241117,7657388,7583728,49.8
"시설채소 (kg)",토마토(촉성),10080,26832960,15684160,11148800,41.5,10769,25673296,13247892,12425404,48.4,11734,25757155,12759697,12997458,50.5,11485,24320660,11288971,13031689,53.6,12617,23900651,14552766,9347884,39.1,10990,20101381,12533327,7568054,37.6,11874,25283473,15536842,9746631,38.5,11520,23325600,13584110,9741490,41.8,11510,25139629,13895360,11244269,44.7,11021,27216556,15987863,11228693,41.3
"시설채소 (kg)",토마토(반촉성),8157,17195417,8480827,8714590,50.7,7230,14265059,7346244,6918815,48.5,7362,15652884,7563318,8089567,51.7,9755,16682965,7859175,8823790,52.9,9123,17218247,8144042,9074205,52.7,7655,15498334,8088106,7410227,47.8,7668,15928784,8674995,7253789,45.5,7769,18469253,9468572,9000681,48.7,7784,20124327,9498538,10625789,52.8,7866,20194728,10618552,9576176,47.4
